EventName,Used
StageChangeUnqualifiedDefault,
StageChangeUnqualifiedFuture Batches,
StageChangeUnqualifiedIn convo Neutral,
StageChangeUnqualifiedIn convo Warm,
StageChangeUnqualifiedMarketing Acquired,
StageChangeUnqualifiedMarketing Qualified,
StageChangeUnqualifiedNew,
StageChangeUnqualifiedNurture,
StageChangeUnqualifiedReactivated,
StageChangeWorking ProfessionalMarketing Acquired,
StageChangeWorking ProfessionalReactivated,
Unsubscribed,
Unsubscribed From Promotional Emails,
Upsell,1
User Logged In,1
VIP Applied,1
VIP Completed,1
VIP Registered,1
Video Masterclass Feedback Form Filled,1
Video Masterclass Quiz Taken,1
Video Masterclass Registered,1
Video Masterclass Watched,1
Viewed Application Form,1
Walkin,1
Walkin - Old,1
Walkin Schedule,1
WhatsApp Message,1
WhatsApp Message Sent,1
Whatsapp Sent from MoEngage,1
Zoom Meeting,1
Zoom Meeting Started,1
